id_clima,fecha,zona,temperatura_promedio_c,lluvia_mm,humedad_relativa_pct,observacion_climatica
C-00001,2025-10-29,Occidente,29.7,9.4,96.6,nublado
C-00002,2025-03-16,Norte,28.1,21.5,79.7,nublado
C-00003,2025-07-29,Oriente,28.2,2.6,74.7,estable
C-00004,2025-04-12,Centro,32.9,10.9,83.6,nublado
C-00005,2025-12-27,Occidente,30.5,15.4,67.6,sequía leve
C-00006,2025-04-11,Norte,20.7,0,89.7,soleado
C-00007,2025-10-25,Centro,20.0,8.1,97.3,nublado
C-00008,2025-09-13,Centro,27.3,0,86.1,nublado
C-00009,2025-11-27,Sur,20.2,5.4,59.8,soleado
C-00010,2025-08-30,Centro,27.2,18.7,51.4,soleado
C-00011,2025-12-25,Occidente,33.4,3.4,50.8,sequía leve
C-00012,2025-10-16,Centro,22.6,0,94.2,lluvia
C-00013,2025-09-08,Sur,28.1,5.2,97.6,soleado
C-00014,2025-10-17,Centro,24.9,0.3,91.2,sequía leve
C-00015,2025-05-08,Occidente,20.8,0,90.6,tormenta
C-00016,2025-05-06,Centro,17.1,9.5,75.7,tormenta
C-00017,2025-06-05,Oriente,34.1,9.7,61.9,sequía leve
C-00018,2025-03-14,Oriente,28.0,12.9,90.9,estable
C-00019,2025-01-02,Occidente,20.1,0,64.3,lluvia
C-00020,2025-04-29,Occidente,34.1,0,92.9,tormenta
C-00021,2025-09-27,Norte,33.1,7.1,77.7,sequía leve
C-00022,2025-10-10,Oriente,33.8,1.9,77.4,tormenta
C-00023,2025-02-13,Norte,34.2,4.0,57.1,lluvia
C-00024,2025-02-11,Sur,34.9,0,91.3,lluvia
C-00025,2025-09-07,Norte,34.7,12.0,73.4,tormenta
C-00026,2025-12-12,Occidente,17.1,19.2,58.0,sequía leve
C-00027,2025-07-22,Sur,24.6,4.0,93.5,nublado
C-00028,2025-06-09,Centro,24.3,9.5,96.5,lluvia
C-00029,2025-08-07,Centro,32.0,6.1,65.4,sequía leve
C-00030,2025-10-15,Occidente,26.3,0,80.6,tormenta
C-00031,2025-07-21,Oriente,17.6,11.1,57.1,sequía leve
