id_cosecha,fecha,finca,lote,kilos_cosechados,humedad_grano_pct,estado_cultivo,lluvia_ultimos_7_dias_mm
M-00001,2025-01-04,El Roble,Lote-07,205.94,26.7,listo_para_cosecha,15.9
M-00002,2025-06-24,Los Guaduales,Lote-22,217.03,19.3,optimo,36.5
M-00003,2025-04-22,La Pradera,Lote-02,162.96,24.7,listo_para_cosecha,32.1
M-00004,2025-01-03,El Roble,Lote-01,132.76,15.5,plaga_observada,42.4
M-00005,2025-01-06,Los Guaduales,Lote-14,170.58,15.6,humedo,56.0
M-00006,2025-06-27,Buenos Aires,Lote-04,94.18,22.9,optimo,88.3
M-00007,2025-04-26,La Pradera,Lote-17,233.7,30.9,listo_para_cosecha,82.8
M-00008,2025-01-27,El Roble,Lote-12,224.41,23.3,optimo,29.9
M-00009,2025-02-04,La Pradera,Lote-11,192.29,31.9,listo_para_cosecha,24.1
M-00010,2025-11-15,El Progreso,Lote-11,251.76,11.0,seco,44.7
M-00011,2025-05-11,La Esperanza,Lote-11,145.59,23.6,humedo,81.0
M-00012,2025-07-24,Buenos Aires,Lote-13,127.67,15.9,listo_para_cosecha,77.8
M-00013,2025-05-19,Santa Lucia,Lote-23,258.85,27.8,seco,9.9
M-00014,2025-05-06,El Progreso,Lote-02,189.45,21.0,humedo,1.2
M-00015,2025-09-14,La Pradera,Lote-11,155.17,30.3,plaga_observada,9.7
M-00016,2025-11-13,San Miguel,Lote-03,266.79,26.4,optimo,69.6
M-00017,2025-05-19,El Progreso,Lote-21,-20,27.7,seco,26.8
M-00018,2025-08-07,El Roble,Lote-14,186.81,25.3,optimo,17.4
M-00019,2025-07-24,El Roble,Lote-06,202.64,15.2,humedo,37.5
M-00020,2025-10-29,El Roble,Lote-02,100.45,28.4,optimo,63.3
M-00021,2025-03-03,Buenos Aires,Lote-23,130.6,28.5,listo_para_cosecha,53.1
M-00022,2025-08-17,La Pradera,Lote-14,119.73,30.8,seco,81.3
M-00023,2025-10-09,El Roble,Lote-19,233.66,14.5,seco,33.8
M-00024,2025-09-27,La Pradera,Lote-12,239.84,26.8,listo_para_cosecha,62.7
M-00025,2025-03-24,La Pradera,Lote-24,253.36,18.5,seco,88.7
M-00026,2025-06-18,Santa Lucia,Lote-04,143.41,31.2,listo_para_cosecha,44.7
M-00027,2025-03-08,Los Guaduales,Lote-14,212.63,28.0,humedo,50.5
M-00028,2025-12-05,El Roble,Lote-02,189.72,25.7,seco,93.1
M-00029,2025-11-24,San Miguel,Lote-09,198.58,16.9,optimo,53.8
M-00030,2025-10-26,El Roble,Lote-23,157.0,25.8,plaga_observada,29.8
M-00031,2025-02-18,El Progreso,Lote-16,162.6,19.5,humedo,4.5
M-00032,2025-05-19,La Esperanza,Lote-20,206.33,29.4,listo_para_cosecha,88.5
M-00033,2025-07-20,La Pradera,Lote-05,244.37,23.9,humedo,78.3
M-00034,2025-01-23,Los Guaduales,Lote-17,273.57,18.2,optimo,6.6
M-00035,2025-10-21,La Esperanza,Lote-10,192.69,30.4,seco,12.5
M-00036,2025-02-07,Los Guaduales,Lote-22,135.83,27.9,plaga_observada,43.5
M-00037,2025-11-12,El Progreso,Lote-07,148.48,29.5,plaga_observada,92.4
M-00038,2025-05-31,Buenos Aires,Lote-22,179.43,22.1,optimo,76.8
M-00039,2025-02-17,Buenos Aires,Lote-21,172.13,26.2,optimo,10.6
M-00040,2025-06-08,San Miguel,Lote-22,127.06,24.4,listo_para_cosecha,35.0
M-00041,2025-09-02,El Roble,Lote-09,288.44,12.8,seco,61.8
M-00042,2025-05-08,Santa Lucia,Lote-06,237.01,23.1,plaga_observada,33.4
M-00043,2025-02-15,El Progreso,Lote-01,174.0,19.1,optimo,20.5
M-00044,2025-04-10,Buenos Aires,Lote-01,195.55,30.2,listo_para_cosecha,68.3
M-00045,2025-02-23,La Esperanza,Lote-13,72.29,23.0,plaga_observada,14.7
M-00046,2025-06-07,San Miguel,Lote-08,248.92,14.4,humedo,4.8
M-00047,2025-02-02,La Pradera,Lote-13,97.92,22.7,listo_para_cosecha,76.4
M-00048,2025-07-26,La Pradera,Lote-21,109.39,19.7,listo_para_cosecha,38.2
M-00049,2025-07-29,La Esperanza,Lote-03,233.79,13.4,listo_para_cosecha,28.2
M-00050,2025-11-04,San Miguel,Lote-17,196.74,24.1,optimo,19.7
M-00051,2025-10-31,La Esperanza,Lote-22,111.67,22.2,optimo,90.0
M-00052,2025-10-04,La Esperanza,Lote-22,225.18,22.2,plaga_observada,14.7
M-00053,2025-08-22,El Roble,Lote-06,203.48,16.1,listo_para_cosecha,40.7
M-00054,2025-12-10,Buenos Aires,Lote-11,141.44,20.6,seco,83.1
