codigo_animal,finca,raza,edad_meses,peso_kg,estado_sanitario,ultima_vacuna,responsable
BU-0001,Buenos Aires,Gyr,95,337.2,sano,2024-07-08,Ana
SA-0002,Santa Lucia,Gyr,102,412.3,observacion,2024-10-27,Paola
LO-0003,Los Guaduales,Criollo,46,424.1,sano,2024-10-28,Ana
LA-0004,La Pradera,Normando,13,443.4,vacuna_pendiente,2024-11-16,Marta
SA-0005,San Miguel,Gyr,15,515.1,observacion,2024-11-23,Ana
LA-0006,La Esperanza,Pardo Suizo,19,427.1,tratamiento,2024-10-31,Luis
LA-0007,La Esperanza,Normando,24,332.9,observacion,2024-09-05,Jorge
EL-0008,El Progreso,Criollo,42,350.7,vacuna_pendiente,2024-11-02,Carlos
EL-0009,El Roble,Gyr,48,429.5,sano,2024-12-08,Marta
SA-0010,San Miguel,Jersey,56,370.0,vacuna_pendiente,2024-08-02,Paola
BU-0011,Buenos Aires,Criollo,54,383.8,sano,2024-07-16,Paola
EL-0012,El Progreso,Holstein,44,470.2,sano,2024-07-10,Luis
LA-0013,La Esperanza,Gyr,59,611.2,sano,2024-09-18,Paola
SA-0014,Santa Lucia,Criollo,23,423.2,sano,2024-10-01,Jorge
BU-0015,Buenos Aires,Jersey,13,482.5,vacuna_pendiente,2024-11-01,Jorge
LA-0016,La Pradera,Gyr,119,462.3,sano,2024-09-04,Luis
EL-0017,El Progreso,Gyr,14,557.1,observacion,2024-07-15,Jorge
LA-0018,La Pradera,Pardo Suizo,37,321.7,sano,2024-10-31,Marta
SA-0019,Santa Lucia,Pardo Suizo,38,369.4,sano,2024-08-23,Ana
SA-0020,Santa Lucia,Normando,62,460.7,sano,2024-10-31,Luis
LO-0021,Los Guaduales,Holstein,24,619.6,sano,2024-11-03,Luis
EL-0022,El Roble,Gyr,28,529.3,sano,2024-09-01,Luis
EL-0023,El Progreso,Holstein,66,330.7,sano,2024-09-13,Marta
LA-0024,La Esperanza,Criollo,100,563.5,sano,2024-08-17,Jorge
EL-0025,El Roble,Holstein,70,471.4,sano,2024-11-13,Carlos
BU-0026,Buenos Aires,Pardo Suizo,69,325.4,sano,2024-07-17,Luis
SA-0027,Santa Lucia,Gyr,19,530.2,sano,2024-10-03,Paola
LA-0028,La Pradera,Holstein,39,329.1,sano,2024-07-05,Paola
SA-0029,San Miguel,Criollo,48,396.9,sano,2024-07-28,Luis
LO-0030,Los Guaduales,Gyr,109,344.5,sano,2024-10-03,Ana
LA-0031,La Esperanza,Holstein,101,515.9,sano,2024-12-18,Luis
LA-0032,La Esperanza,Criollo,100,526.5,sano,2024-09-30,Jorge
LO-0033,Los Guaduales,Normando,89,539.1,vacuna_pendiente,2024-12-09,Carlos
EL-0034,El Roble,Holstein,69,444.7,sano,2024-09-26,Jorge
LA-0035,La Esperanza,Holstein,35,368.2,sano,2024-11-15,Jorge
SA-0036,San Miguel,Criollo,53,403.2,sano,2024-07-05,Paola
EL-0037,El Roble,Criollo,58,356.1,observacion,2024-10-19,Marta
EL-0038,El Roble,Normando,60,475.9,sano,2024-09-29,Luis
BU-0039,Buenos Aires,Pardo Suizo,49,366.4,sano,2024-12-14,Jorge
LA-0040,La Pradera,Holstein,49,356.3,sano,2024-11-24,Carlos
LA-0041,La Esperanza,Gyr,81,222.0,vacuna_pendiente,2024-09-02,Marta
LA-0042,La Esperanza,Jersey,79,488.0,sano,2024-09-25,Marta
EL-0043,El Progreso,Criollo,26,357.1,observacion,2024-07-27,Ana
LA-0044,La Esperanza,Jersey,57,546.4,observacion,2024-10-09,Ana
BU-0045,Buenos Aires,Pardo Suizo,37,514.7,sano,2024-11-02,Paola
LA-0046,La Pradera,Jersey,79,371.7,observacion,2024-08-20,Luis
SA-0047,San Miguel,Holstein,77,320.7,sano,2024-07-25,Jorge
LA-0048,La Pradera,Jersey,41,409.3,sano,2024-08-14,Jorge
LA-0049,La Esperanza,Jersey,100,358.7,observacion,2024-10-11,Luis
LA-0050,La Pradera,Jersey,112,545.7,sano,2024-09-26,Luis
LA-0051,La Esperanza,Gyr,42,381.8,observacion,2024-10-18,Ana
LA-0052,La Esperanza,Holstein,37,430.7,sano,2024-10-10,Jorge
LA-0053,La Esperanza,Criollo,91,361.9,vacuna_pendiente,2024-07-14,Marta
EL-0054,El Roble,Normando,61,589.1,observacion,2024-10-21,Carlos
EL-0055,El Progreso,Jersey,21,333.6,vacuna_pendiente,2024-12-12,Jorge
LA-0056,La Esperanza,Gyr,107,427.5,observacion,2024-07-16,Jorge
EL-0057,El Roble,Criollo,114,374.4,tratamiento,2024-10-05,Carlos
SA-0058,Santa Lucia,Normando,61,348.6,sano,2024-11-21,Marta
SA-0059,Santa Lucia,Holstein,117,452.1,tratamiento,2024-10-07,Marta
LA-0060,La Pradera,Jersey,100,334.3,observacion,2024-07-10,Luis
BU-0061,Buenos Aires,Jersey,90,534.3,sano,2024-08-12,Luis
