id_registro,fecha,finca,codigo_animal,turno,litros,temperatura_c,observacion,tecnico
L-00001,2025-08-25,La Pradera,BU-0719,manana,12.95,29.1,dato estimado,Luis
L-00002,2025-08-07,San Miguel,LO-0632,tarde,4.69,22.2,normal,Marta
L-00003,2025-03-01,Santa Lucia,SA-1139,manana,11.23,17.5,dato estimado,Ana
L-00004,2025-07-20,Buenos Aires,EL-0430,tarde,14.05,31.0,baja alimentacion,Paola
L-00005,2025-01-26,El Roble,EL-0440,tarde,14.48,32.9,baja alimentacion,Paola
L-00006,2025-02-09,La Pradera,LA-0533,manana,7.71,18.0,lluvia fuerte,Marta
L-00007,2025-08-04,El Progreso,SA-1124,tarde,6.72,21.7,sin novedad,Ana
L-00008,2025-01-27,Santa Lucia,LA-2258,manana,11.91,23.3,revisar vacuna,Ana
L-00009,2025-09-30,La Pradera,SA-2137,manana,11.3,27.1,dato estimado,Ana
L-00010,2025-10-28,San Miguel,EL-2423,tarde,10.32,23.2,lluvia fuerte,Marta
L-00011,2025-03-30,El Progreso,SA-0270,tarde,12.65,21.1,revisar vacuna,Paola
L-00012,2025-10-04,El Roble,LA-0944,tarde,14.04,28.1,revisar vacuna,Ana
L-00013,2025-03-16,La Pradera,SA-0668,manana,8.38,18.1,dato estimado,Paola
L-00014,2025-12-10,Santa Lucia,EL-1405,tarde,8.39,24.6,sin novedad,Luis
L-00015,2025-01-14,Los Guaduales,LA-1332,manana,10.21,20.1,baja alimentacion,Marta
L-00016,2025-04-17,Los Guaduales,LA-0935,manana,10.64,17.5,normal,Paola
L-00017,2025-12-10,San Miguel,EL-1408,manana,5.12,22.3,revisar vacuna,Paola
L-00018,2025-09-02,El Progreso,SA-2123,manana,16.47,27.3,lluvia fuerte,Marta
L-00019,2025-02-02,El Progreso,LA-2297,manana,15.28,22.4,sin novedad,Paola
L-00020,2025-05-17,La Esperanza,SA-1578,manana,14.11,30.9,revisar vacuna,Paola
L-00021,2025-11-11,El Roble,EL-0646,tarde,9.45,17.5,dato estimado,Paola
L-00022,2025-04-13,La Esperanza,LO-1209,tarde,9.56,17.7,normal,Luis
L-00023,2025-10-27,San Miguel,LA-1979,tarde,13.47,32.3,dato estimado,Paola
L-00024,2025-06-23,Santa Lucia,EL-1326,manana,14.84,33.8,baja alimentacion,Ana
L-00025,2025-07-29,San Miguel,EL-1052,tarde,12.01,30.3,normal,Jorge
L-00026,2025-04-04,La Pradera,LA-2431,manana,5.72,24.3,baja alimentacion,Marta
L-00027,2025-01-21,El Roble,BU-2283,tarde,11.24,18.9,dato estimado,Jorge
L-00028,2025-05-18,Santa Lucia,LA-1419,tarde,14.01,23.0,animal en control,Carlos
L-00029,2025-06-02,El Progreso,BU-2318,tarde,11.33,22.8,baja alimentacion,Paola
L-00030,2025-02-24,Santa Lucia,BU-0986,manana,6.55,28.8,lluvia fuerte,Ana
L-00031,2025-01-01,Los Guaduales,BU-2290,tarde,11.82,30.5,sin novedad,Paola
L-00032,2025-08-21,El Progreso,LA-0013,manana,11.59,22.0,lluvia fuerte,Carlos
L-00033,2025-09-01,Buenos Aires,SA-1179,manana,6.6,22.7,sin novedad,Carlos
L-00034,2025-08-02,El Progreso,LO-1775,tarde,14.28,33.9,animal en control,Ana
L-00035,2025-06-12,La Esperanza,SA-2175,tarde,12.49,30.3,revisar vacuna,Carlos
L-00036,2025-10-31,Los Guaduales,LA-0074,manana,7.6,32.0,revisar vacuna,Luis
L-00037,2025-07-13,Santa Lucia,LA-0042,manana,13.79,18.4,lluvia fuerte,Ana
L-00038,2025-10-14,San Miguel,SA-2218,manana,10.62,18.2,revisar vacuna,Luis
L-00039,2025-10-24,Santa Lucia,SA-1417,tarde,12.08,18.0,sin novedad,Jorge
L-00040,2025-04-22,Santa Lucia,LA-0172,manana,10.25,33.2,revisar vacuna,Luis
L-00041,2025-03-25,San Miguel,LA-0934,manana,13.08,20.3,baja alimentacion,Paola
L-00042,2025-10-15,El Progreso,LA-0570,manana,10.04,18.7,revisar vacuna,Jorge
L-00043,2025-06-15,La Esperanza,EL-0787,manana,15.97,21.1,animal en control,Paola
L-00044,2025-02-05,Los Guaduales,LO-1498,tarde,14.33,22.2,sin novedad,Ana
L-00045,2025-02-17,El Roble,SA-1273,tarde,12.99,27.9,sin novedad,Jorge
L-00046,2025-03-05,San Miguel,SA-0874,manana,10.12,23.3,normal,Carlos
L-00047,2025-09-02,Los Guaduales,SA-1391,manana,14.74,24.9,lluvia fuerte,Ana
L-00048,2025-03-27,Buenos Aires,EL-0581,tarde,7.01,17.8,revisar vacuna,Ana
L-00049,2025-07-01,El Progreso,LA-1825,manana,12.54,32.9,baja alimentacion,Luis
L-00050,2025-10-24,La Pradera,SA-0598,manana,9.88,29.6,dato estimado,Luis
L-00051,2025-11-20,Santa Lucia,SA-1171,tarde,6.01,29.3,animal en control,Luis
L-00052,2025-10-05,Buenos Aires,LA-1055,manana,7.9,31.2,normal,Ana
L-00053,2025-02-11,Buenos Aires,LO-0879,tarde,11.17,20.9,lluvia fuerte,Luis
L-00054,2025-03-25,Santa Lucia,EL-2146,manana,5.33,18.0,lluvia fuerte,Luis
L-00055,2025-09-06,Buenos Aires,EL-0462,tarde,8.58,29.9,dato estimado,Luis
L-00056,2025-09-23,Buenos Aires,LA-1606,tarde,9.33,27.7,normal,Jorge
L-00057,2025-05-17,La Pradera,EL-0287,tarde,18.35,27.3,normal,Jorge
L-00058,2025-06-08,Los Guaduales,LA-2010,manana,10.76,29.2,normal,Ana
L-00059,2025-06-22,San Miguel,SA-0617,manana,11.7,27.7,dato estimado,Jorge
L-00060,2025-11-23,La Pradera,LA-0829,tarde,3.41,24.0,lluvia fuerte,Ana
L-00061,2025-02-21,La Esperanza,LO-0614,tarde,8.3,20.2,lluvia fuerte,Jorge
L-00062,2025-08-12,Los Guaduales,SA-0589,manana,13.68,27.7,animal en control,Marta
L-00063,2025-04-12,La Esperanza,SA-0523,manana,14.95,27.4,normal,Luis
L-00064,2025-10-09,El Roble,BU-2214,manana,15.67,21.3,revisar vacuna,Ana
L-00065,2025-02-02,El Roble,BU-0719,tarde,9.38,26.2,animal en control,Jorge
L-00066,2025-10-22,Buenos Aires,LA-1140,tarde,8.29,21.2,lluvia fuerte,Paola
L-00067,2025-11-26,Santa Lucia,EL-0038,manana,8.24,18.0,sin novedad,Luis
L-00068,2025-02-22,El Roble,EL-2157,manana,15.81,27.3,revisar vacuna,Marta
L-00069,2025-12-02,Buenos Aires,SA-2008,tarde,10.97,20.0,animal en control,Carlos
L-00070,2025-08-16,El Roble,LA-1502,manana,10.7,25.0,sin novedad,Jorge
L-00071,2025-04-21,San Miguel,LA-0276,tarde,7.63,26.3,baja alimentacion,Jorge
L-00072,2025-03-30,El Progreso,LA-2001,tarde,10.48,31.9,revisar vacuna,Ana
L-00073,2025-07-17,Santa Lucia,LA-1314,tarde,9.31,19.1,normal,Luis
L-00074,2025-08-16,Los Guaduales,SA-0178,tarde,8.35,25.8,lluvia fuerte,Marta
L-00075,2025-07-08,La Esperanza,EL-1214,tarde,10.03,30.5,sin novedad,Marta
L-00076,2025-01-29,Santa Lucia,LA-1206,tarde,10.94,18.7,normal,Marta
L-00077,2025-06-27,San Miguel,LA-1771,manana,6.85,31.3,dato estimado,Carlos
L-00078,2025-04-13,La Pradera,LA-0527,manana,11.24,28.5,dato estimado,Jorge
L-00079,2025-11-24,San Miguel,BU-0311,manana,8.05,30.7,baja alimentacion,Jorge
