id_venta,fecha,finca,producto,cantidad,unidad,precio_unitario_cop,comprador,medio_pago
V-00001,2025-10-04,La Esperanza,leche,178,litro,2238,Colegio,efectivo
V-00002,2025-01-19,San Miguel,yuca,161,kg,1018,Mercado municipal,efectivo
V-00003,2025-02-12,El Progreso,sorgo,185,kg,2012,Tienda veredal,credito_local
V-00004,2025-02-08,La Pradera,leche,28,litro,2024,Colegio,transferencia
V-00005,2025-09-27,El Progreso,abono_organico,43,bulto,16241,Mercado municipal,transferencia
V-00006,2025-01-29,La Pradera,abono_organico,25,bulto,10489,Tienda veredal,efectivo
V-00007,2025-04-01,La Pradera,sorgo,484,kg,1065,Mercado municipal,efectivo
V-00008,2025-11-23,Santa Lucia,abono_organico,16,bulto,12468,Familia local,efectivo
V-00009,2025-08-26,El Roble,yuca,430,kg,2127,Cooperativa,transferencia
V-00010,2025-12-01,Santa Lucia,sorgo,576,kg,1423,Tienda veredal,efectivo
V-00011,2025-04-17,Buenos Aires,leche,119,litro,1660,Tienda veredal,transferencia
V-00012,2025-01-15,La Esperanza,sorgo,363,kg,2792,Tienda veredal,credito_local
V-00013,2025-06-19,El Roble,sorgo,238,kg,1250,Familia local,transferencia
V-00014,2025-01-13,La Pradera,abono_organico,35,bulto,13944,Restaurante,efectivo
V-00015,2025-01-22,Los Guaduales,queso,10,kg,9011,Colegio,efectivo
V-00016,2025-04-26,Los Guaduales,sorgo,374,kg,1690,Mercado municipal,efectivo
V-00017,2025-06-07,El Roble,leche,66,litro,2107,Restaurante,transferencia
V-00018,2025-01-24,El Roble,leche,199,litro,2229,Familia local,transferencia
V-00019,2025-03-07,El Roble,yuca,62,kg,2628,Tienda veredal,efectivo
V-00020,2025-08-22,El Roble,queso,37,kg,10863,Mercado municipal,transferencia
V-00021,2025-09-13,Los Guaduales,yuca,338,kg,1731,Cooperativa,transferencia
V-00022,2025-09-18,Santa Lucia,sorgo,29,kg,2354,Familia local,credito_local
V-00023,2025-03-28,El Roble,leche,132,litro,1844,Restaurante,efectivo
V-00024,2025-05-10,El Roble,abono_organico,35,bulto,8727,Tienda veredal,credito_local
V-00025,2025-08-27,El Roble,leche,122,litro,1560,Mercado municipal,transferencia
V-00026,2025-06-03,Los Guaduales,abono_organico,45,bulto,17133,Restaurante,credito_local
V-00027,2025-05-12,Santa Lucia,abono_organico,26,bulto,9166,Tienda veredal,efectivo
V-00028,2025-08-21,Buenos Aires,abono_organico,29,bulto,14312,Familia local,efectivo
V-00029,2025-01-06,El Roble,yuca,649,kg,1440,Cooperativa,efectivo
V-00030,2025-10-08,Buenos Aires,yuca,19,kg,1234,Colegio,credito_local
V-00031,2025-05-19,Santa Lucia,abono_organico,27,bulto,14913,Tienda veredal,transferencia
V-00032,2025-12-23,San Miguel,leche,178,litro,1504,Colegio,credito_local
V-00033,2025-10-26,La Esperanza,yuca,15,kg,2363,Cooperativa,transferencia
V-00034,2025-09-29,La Esperanza,sorgo,183,kg,933,Cooperativa,efectivo
V-00035,2025-05-31,La Esperanza,yuca,199,kg,2046,Tienda veredal,credito_local
V-00036,2025-06-12,Los Guaduales,abono_organico,38,bulto,14559,Cooperativa,transferencia
V-00037,2025-02-28,La Pradera,maiz,177,kg,2027,Mercado municipal,credito_local
V-00038,2025-02-05,Los Guaduales,sorgo,515,kg,2024,Colegio,efectivo
V-00039,2025-07-01,San Miguel,sorgo,164,kg,2084,Mercado municipal,credito_local
V-00040,2025-12-18,San Miguel,sorgo,457,kg,1003,Restaurante,efectivo
V-00041,2025-08-20,La Esperanza,sorgo,404,kg,2746,Cooperativa,credito_local
V-00042,2025-12-17,La Pradera,yuca,524,kg,907,Cooperativa,efectivo
V-00043,2025-08-14,Santa Lucia,leche,198,litro,1652,Mercado municipal,transferencia
V-00044,2025-12-01,San Miguel,leche,203,litro,1591,Cooperativa,efectivo
V-00045,2025-02-05,El Progreso,leche,58,litro,1711,Mercado municipal,credito_local
V-00046,2025-05-04,Santa Lucia,abono_organico,35,bulto,17677,Mercado municipal,transferencia
V-00047,2025-08-10,Buenos Aires,queso,18,kg,11384,Tienda veredal,efectivo
V-00048,2025-01-02,Santa Lucia,leche,100,litro,2190,Cooperativa,credito_local
V-00049,2025-01-03,Los Guaduales,queso,29,kg,12560,Mercado municipal,credito_local
V-00050,2025-01-08,La Pradera,yuca,347,kg,1822,Colegio,transferencia
V-00051,2025-09-02,El Roble,leche,75,litro,1917,Familia local,transferencia
V-00052,2025-05-16,Santa Lucia,queso,6,kg,14365,Tienda veredal,transferencia
V-00053,2025-05-13,Buenos Aires,yuca,216,kg,2135,Familia local,transferencia
